Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,Anterograde Trans-Synaptic Signaling (GO:0098916),-6.563212e-01,-1.543889e+00,1.730104e-03,2.049491e-01,9.900000e-01,33/122,7.37%,SYT1;CPLX1;GLRA3;UNC13C;SLC18A2;SNCG;SYT5;KIF5A;GRIN1;SCN2B;SLC1A1;CHRNB2;CHRNE;SNAP25;HTR2A;AMPH;GLRB;CACNA1E;CBLN1;SNCB;SYN1;CHRNA4;SLC1A6;CHRNA6;CHRNB3;CACNB3;NTSR1;KCNMB1;DLG3;CDK5;BSN;HOMER1;GLRA1
prerank,Regulation Of Calcium Ion-Dependent Exocytosis (GO:0017158),-8.375919e-01,-1.543024e+00,5.484461e-03,2.033417e-01,9.900000e-01,9/22,5.99%,SYT1;SYT4;SYT5;SYT13;SYT7;SCAMP5;KCNB1;STXBP1;RPH3A
prerank,Mitotic G2 DNA Damage Checkpoint Signaling (GO:0007095),-8.100455e-01,-1.542985e+00,5.607477e-03,1.985627e-01,9.900000e-01,5/26,7.25%,CLSPN;CHEK1;BLM;BRCA1;CDKN1A
prerank,Visual System Development (GO:0150063),8.110194e-01,1.542601e+00,1.576577e-02,3.358937e-01,1.000000e+00,6/24,7.19%,BMPR1B;MEIS2;CPAMD8;SMOC1;SOX2;TGFB2
prerank,Establishment Of Protein Localization To Extracellular Region (GO:0035592),-7.751977e-01,-1.542509e+00,1.036269e-02,1.952703e-01,9.900000e-01,6/33,13.32%,RAB3A;RAB3C;NECAB3;SVBP;TVP23B;RAB13
prerank,Smoothened Signaling Pathway (GO:0007224),7.885747e-01,1.540980e+00,9.280742e-03,3.338499e-01,1.000000e+00,5/25,6.85%,GLI3;GLI2;PTCHD1;PTCH1;DYRK2
prerank,Ventricular Cardiac Muscle Tissue Morphogenesis (GO:0055010),8.350233e-01,1.540548e+00,2.164502e-02,3.263728e-01,1.000000e+00,7/19,8.38%,TGFBR3;ZFPM2;FGFR2;LRP2;TGFB2;PROX1;RYR2
prerank,Positive Regulation Of Nitric Oxide Metabolic Process (GO:1904407),-8.526071e-01,-1.539072e+00,1.065719e-02,2.028049e-01,9.940000e-01,4/20,1.57%,IL1B;TNF;KLF2;CD36
prerank,Cellular Response To Ketone (GO:1901655),7.833148e-01,1.538221e+00,2.380952e-02,3.287154e-01,1.000000e+00,3/30,4.57%,ADCY8;ADCY2;AQP1
prerank,Regulation Of Wnt Signaling Pathway (GO:0030111),6.705122e-01,1.537013e+00,9.615385e-03,3.248813e-01,1.000000e+00,9/70,4.42%,CTNND2;LGR6;KANK1;DAAM2;AMER2;TCF7L1;FGFR2;ZNF703;TLE1
prerank,Regulation Of Cell Motility (GO:2000145),6.511333e-01,1.536007e+00,1.098901e-02,3.203970e-01,1.000000e+00,12/84,7.56%,PLXNB1;ERBB4;FYN;PLXNA1;FRMD5;FGF2;PLEKHG3;NEXN;FGF1;TNC;ENPP2;PLXND1
prerank,Regulation Of Chondrocyte Differentiation (GO:0032330),8.536923e-01,1.534988e+00,1.511879e-02,3.160241e-01,1.000000e+00,6/16,5.72%,BMPR1B;EFEMP1;GREM1;PKDCC;ZBTB16;SOX9
prerank,Regulation Of Peptide Hormone Secretion (GO:0090276),-8.118122e-01,-1.533315e+00,1.289134e-02,2.193949e-01,9.950000e-01,4/27,3.05%,IL1B;TNF;SNAP25;SYT7
prerank,Positive Regulation Of Protein Localization To Nucleus (GO:1900182),6.978569e-01,1.532805e+00,2.050114e-02,3.172812e-01,1.000000e+00,3/59,0.98%,YAP1;WWTR1;FERMT2
